date_and_time, travel_mode, x_acc [m/s^2], y_acc [m/s^2], z_acc [m/s^2], x_grav [m/s^2], y_grav [m/s^2], z_grav [m/s^2], x_lin_acc [m/s^2], y_lin_acc [m/s^2], z_lin_acc [m/s^2], x_gryo [rad/s], y_gyro [rad/s], z_gyro [rad/s], light [lux], x_mag [uT], y_mag [uT], z_mag [uT], x_orient [deg], y_orient [deg], z_orient [deg], prox [cm], sound_lvl [db] 
2014_11_30 15:10:06.644, walking, -1.0623871, 8.934948, 4.4129925, -1.305409, 9.041421, 3.5663702, 0.24302185, -0.10647297, 0.8466222, 0.31306845, 0.15424347, -0.0290161, 100.0, 1.14, 54.12, 16.5, -0.7641751, -1.1731328, 0.35088605, 5.0, null 
2014_11_30 15:10:07.228, walking, -1.8387469, 8.934948, 3.759216, -1.7156541, 9.012421, 3.4645627, -0.12309277, -0.07747269, 0.29465342, -0.01863139, -0.058643065, 0.046120327, 100.0, 1.02, 54.42, 16.44, -0.77807987, -1.1655648, 0.45980087, 5.0, null 
2014_11_30 15:10:07.783, walking, -1.879608, 9.00305, 2.9964764, -1.7881364, 9.078014, 3.2500181, -0.20043445, 0.006757736, 0.2912724, 0.083383106, -0.017104227, -0.018020526, 100.0, 2.04, 54.239998, 15.059999, 0.23625514, -0.35853994, -2.2617395, 5.0, null 
2014_11_30 15:10:08.297, walking, -2.002191, 9.084772, 2.8466527, -1.8819699, 9.201757, 2.8206792, -0.12022114, -0.11698532, 0.025973558, 0.07422013, 0.07086037, 0.09743301, 100.0, 1.3199999, 54.96, 13.5, -0.75366735, -1.2177335, 0.5883749, 5.0, null 
2014_11_30 15:10:08.841, walking, -2.0294318, 9.030291, 3.445948, -1.86077, 8.969079, 3.5019338, -0.16866183, 0.061211586, -0.055985928, 0.13041973, -0.122783914, 0.03756821, 100.0, 1.14, 54.539997, 16.02, -0.7258029, -1.1544966, 0.4884158, 5.0, null 
2014_11_30 15:10:09.350, walking, -1.8115063, 9.057531, 3.1599207, -1.9474715, 9.052054, 3.2307987, 0.13596523, 0.0054769516, -0.07087803, 0.17256944, 0.021991149, -0.054367006, 100.0, 1.62, 54.84, 15.12, -0.5760969, -1.1759422, 0.54246354, 5.0, null 
2014_11_30 15:10:09.877, walking, -1.8115063, 8.921328, 3.0781987, -1.9307276, 9.044999, 3.2604723, 0.07836032, -0.20539379, 0.389781, -0.16737708, 0.03481932, 0.04550946, 100.0, 1.02, 54.899998, 13.74, -0.630777, -1.174076, 0.5346363, 5.0, null 
2014_11_30 15:10:10.406, walking, -1.96133, 9.193735, 2.8466527, -1.8175293, 9.205579, 2.8503122, -0.021217585, -0.079945564, -0.27606654, -0.13622294, -0.055283304, -0.02443461, 100.0, 1.26, 54.48, 13.92, -0.7941374, -1.2188623, 0.56765115, 5.0, null 
2014_11_30 15:10:10.999, walking, -1.7434045, 9.289077, 1.9340894, -1.9748578, 9.335534, 2.2623253, 0.2314533, -0.04645729, -0.32823586, 0.11911872, -0.061086524, -0.020158553, 100.0, 1.92, 54.78, 11.4, -0.20607828, -0.07736195, 1.5462023, 5.0, null 
2014_11_30 15:10:11.601, walking, -1.9340894, 9.084772, 2.4516625, -1.8664159, 9.241222, 2.6993873, -0.067673564, -0.15645027, -0.24772477, -0.015271631, 0.041233405, 0.003970624, 100.0, 2.1, 54.899998, 12.3, -0.71906376, -1.2295623, 0.6049457, 5.0, null 
2014_11_30 15:10:12.137, walking, -1.8932283, 9.2073555, 3.0781987, -1.8376126, 9.304528, 2.493857, 0.039726734, -0.08355236, -0.02857399, -0.3662137, 0.03390302, -0.052534413, 100.0, 2.34, 55.26, 11.7, -0.73123795, -1.2494081, 0.6350356, 5.0, null 
2014_11_30 15:10:12.650, walking, -1.5799603, 4.9578066, 6.3334618, -1.7642759, 2.9258606, 9.192228, 0.18431556, 2.031946, -2.8587666, -2.1484132, 1.2391402, -1.8038851, 100.0, -1.62, 51.78, 20.939999, 0.6947531, -0.082878955, 1.9795536, 5.0, null 
2014_11_30 15:10:13.227, walking, -5.3800373, -0.84446156, 9.697687, -4.8823743, -4.8451014, 6.989836, -0.49766302, 4.00064, 2.707851, -0.9477574, -0.01038471, -0.8323039, 100.0, -9.84, 26.34, 49.079998, -2.013735, 0.03482677, 1.9887553, 5.0, null 
2014_11_30 15:10:13.754, walking, 0.05448139, -0.25878662, 10.147159, 0.57453007, -2.7726676, 9.388963, -0.6698725, 2.6228437, 0.799057, 0.0061086523, -0.0106901415, 0.0015271631, 100.0, 10.44, 20.52, 54.18, -0.19960263, 0.2866426, -0.061115865, 5.0, null 
2014_11_30 15:10:14.302, walking, 0.06810174, -0.24516626, 10.228881, 0.3155341, -1.0428885, 9.745933, -0.24743238, 0.7977223, 0.4829483, 0.00580322, -0.0106901415, 3.0543262E-4, 100.0, 22.26, 21.18, 53.219997, -0.6537237, 0.1065465, -0.032364678, 5.0, null 
2014_11_30 15:10:14.832, walking, 0.013620348, -0.24516626, 10.160779, 0.22338553, -0.19522785, 9.802161, -0.20976518, -0.04993841, 0.35861778, 0.008552114, -0.0018325958, -0.002443461, 100.0, 23.34, 20.82, 53.46, -0.7905221, 0.019909015, -0.022785472, 5.0, null 
2014_11_30 15:10:15.353, walking, 0.06810174, -0.23154591, 10.160779, 0.16933645, 0.36427894, 9.798419, -0.10123471, -0.59582484, 0.36236, 0.007941248, -0.009162978, 0.0030543262, 100.0, 22.8, 20.52, 53.34, -0.8685237, -0.037154663, -0.017280297, 5.0, null 
2014_11_30 15:10:15.855, walking, 0.06810174, -0.25878662, 10.2152605, 0.14610748, 0.68753576, 9.781428, -0.050765045, -0.9463224, 0.4202118, 0.01160644, -0.013133603, -0.0012217305, 100.0, 22.859999, 21.06, 53.699997, -0.9079028, -0.0701667, -0.014936123, 5.0, null 
2014_11_30 15:10:16.404, walking, 0.05448139, -0.2860273, 10.20164, 0.14250205, 0.847241, 9.768944, -0.08802067, -1.1332684, 0.43269634, 0.007941248, -0.009773844, 0.00580322, 100.0, 22.619999, 20.52, 53.1, -0.94374424, -0.08650237, -0.014586219, 5.0, null 
2014_11_30 15:10:16.985, walking, 0.095342435, -0.25878662, 10.160779, 0.14260526, 0.8412714, 9.769458, -0.047262825, -1.0864377, 0.5139046, 0.0030543262, -0.0070249503, 3.0543262E-4, 100.0, 22.68, 20.64, 53.699997, -0.9418047, -0.08589137, -0.014596013, 5.0, null 
2014_11_30 15:10:17.605, walking, 0.05448139, -0.20430522, 10.20164, 0.14062145, 0.76151687, 9.776027, -0.08614007, -0.9658221, 0.4256134, 0.0067195175, -0.008552114, 9.162979E-4, 100.0, 22.68, 21.66, 53.699997, -0.89953095, -0.07773136, -0.014383324, 5.0, null 
2014_11_30 15:10:18.112, walking, 0.095342435, -0.21792556, 10.18802, 0.14031206, 0.6599544, 9.783412, -0.03134928, -0.83701897, 0.2956457, 0.009162978, -0.0143553335, -0.0018325958, 100.0, 22.56, 21.24, 53.64, 3.0999951, -0.06734753, -0.01434085, 5.0, null 
2014_11_30 15:10:18.659, walking, 0.05448139, -0.24516626, 10.119919, 0.13292994, 0.49404302, 9.793296, -0.07844855, -0.7392093, 0.32662296, 0.01038471, -0.015271631, 6.1086525E-4, 100.0, 22.8, 21.0, 53.34, -0.8793864, -0.050399702, -0.013572731, 5.0, null 
2014_11_30 15:10:19.241, walking, 0.095342435, -0.24516626, 10.18802, 0.1362262, 0.3758438, 9.798498, -0.040883772, -0.63463044, 0.4984846, -3.0543262E-4, -0.0106901415, 0.0018325958, 100.0, 22.74, 21.359999, 53.28, -0.8508624, -0.038334787, -0.013901869, 5.0, null 
2014_11_30 15:10:19.862, walking, 0.06810174, -0.25878662, 10.228881, 0.125228, 0.2322008, 9.803101, -0.05712626, -0.49098742, 0.4257803, 0.009773844, -0.00580322, 0.0021380284, 100.0, 22.5, 21.42, 53.34, -0.82523596, -0.023680104, -0.012773631, 5.0, null 
2014_11_30 15:10:20.377, walking, 0.095342435, -0.25878662, 10.133538, 0.115268886, 0.14232007, 9.80494, -0.0063061044, -0.37386596, 0.3149786, 0.004886922, -0.005192355, 3.0543262E-4, 100.0, 22.68, 21.3, 53.28, -0.8213539, -0.014513117, -0.011755663, 5.0, null 
2014_11_30 15:10:20.922, walking, 0.05448139, -0.25878662, 10.174399, 0.10657258, 0.035068344, 9.806008, -0.052091192, -0.29385495, 0.36839104, 0.008857546, -0.008857546, -0.0012217305, 100.0, 22.56, 21.48, 53.46, -0.8013418, -0.0035759835, -0.010867662, 5.0, null 
2014_11_30 15:10:21.509, walking, 0.06810174, -0.24516626, 10.242501, 0.1009192, -0.029047424, 9.806088, -0.03281746, -0.21611883, 0.4364128, 0.01038471, -0.011301007, -0.0012217305, 100.0, 22.5, 21.42, 53.28, 0.86344844, 1.1399997, -1.3397057, 5.0, null 
2014_11_30 15:10:22.108, walking, 0.05448139, -0.24516626, 10.228881, 0.095907934, -0.093563266, 9.805735, -0.041426543, -0.15160298, 0.42314625, 0.008857546, -0.006414085, 0.0015271631, 100.0, 22.56, 21.06, 53.28, -0.7961384, 0.0095409425, -0.009780488, 5.0, null 
2014_11_30 15:10:22.629, walking, 0.05448139, -0.25878662, 10.2152605, 0.08758917, -0.1313834, 9.80538, 0.007753268, -0.12740321, 0.40988064, 0.005497787, -0.010079277, 0.004581489, 100.0, 21.9, 21.3, 52.92, -0.7719713, 0.013397777, -0.008932529, 5.0, null 
2014_11_30 15:10:23.162, walking, 0.10896278, -0.21792556, 10.269742, 0.08205898, -0.17069006, 9.804822, 0.0269038, -0.047235504, 0.46492004, 0.010995574, -0.0070249503, -0.002443461, 100.0, 24.48, 20.939999, 53.46, -0.83243877, 0.017406419, -0.008369052, 5.0, null 
2014_11_30 15:10:23.761, walking, 0.095342435, -0.23154591, 10.133538, 0.082116365, -0.18478659, 9.804565, 0.0132260695, -0.046759322, 0.32897282, 0.007330383, -0.014660766, -0.0018325958, 100.0, 26.16, 21.24, 54.12, -0.8571119, 0.018844103, -0.008375124, 5.0, null 
2014_11_30 15:10:24.270, walking, 0.095342435, -0.19068487, 10.174399, 0.07832544, -0.20220375, 9.804253, -0.023844052, -0.09744391, 0.35652637, 0.009773844, -0.01160644, 0.0030543262, 100.0, 25.32, 20.52, 53.579998, -2.2557626, 0.020620506, -0.007988756, 5.0, null 
2014_11_30 15:10:24.811, walking, 0.095342435, -0.27240697, 10.20164, 0.084339805, -0.21872196, 9.803848, 0.01100263, -0.05368501, 0.39779186, 0.008857546, -0.009773844, -0.0030543262, 100.0, 24.779999, 20.939999, 54.0, -0.8320869, 0.022305282, -0.008602513, 5.0, null 
2014_11_30 15:10:25.384, walking, 0.06810174, -0.25878662, 10.147159, 0.08067762, -0.22990456, 9.803623, 0.05552586, -0.028882056, 0.38439655, 0.011911872, -0.008246681, 3.0543262E-4, 100.0, 25.08, 20.46, 54.239998, -0.8479098, 0.023445887, -0.008229182, 5.0, null 
2014_11_30 15:10:26.012, walking, 0.095342435, -0.24516626, 10.160779, 0.08217271, -0.23706508, 9.80344, 0.013169728, -0.00810118, 0.3573389, 0.007941248, -0.014660766, 0.0061086523, 100.0, 22.68, 21.6, 53.76, -0.77056926, 0.024176264, -0.008381831, 5.0, null 
2014_11_30 15:10:26.520, walking, 0.095342435, -0.25878662, 10.269742, 0.08473982, -0.24797206, 9.803149, 0.03784331, -0.038055256, 0.37125015, 0.012217305, -0.01038471, -0.0015271631, 100.0, 23.1, 21.539999, 53.94, -0.7794873, 0.025288805, -0.008643927, 5.0, null 
2014_11_30 15:10:27.063, walking, 0.08172209, -0.23154591, 10.174399, 0.09057182, -0.2518421, 9.802998, -0.008849733, 0.020296201, 0.3714018, 0.009162978, -0.008246681, -6.1086525E-4, 100.0, 22.619999, 21.18, 53.34, -0.77595454, 0.02568357, -0.009238934, 5.0, null 
