date_and_time, travel_mode, x_acc [m/s^2], y_acc [m/s^2], z_acc [m/s^2], x_grav [m/s^2], y_grav [m/s^2], z_grav [m/s^2], x_lin_acc [m/s^2], y_lin_acc [m/s^2], z_lin_acc [m/s^2], x_gryo [rad/s], y_gyro [rad/s], z_gyro [rad/s], light [lux], x_mag [uT], y_mag [uT], z_mag [uT], x_orient [deg], y_orient [deg], z_orient [deg], prox [cm], sound_lvl [db] 
2014_11_30 15:10:42.086, walking, 0.095342435, -0.2860273, 10.2152605, 0.10415318, -0.24058343, 9.803145, -0.008810744, -0.045443878, 0.4121151, 0.008552114, -0.009773844, -0.0021380284, 100.0, 24.66, 21.0, 53.699997, -0.8235361, 0.024535146, -0.010624066, 5.0, null 
2014_11_30 15:10:42.670, walking, 0.095342435, -0.24516626, 10.160779, 0.104248986, -0.24324247, 9.803079, -0.036147244, -0.0019237846, 0.53476524, 0.009162978, -0.015577064, -0.0015271631, 100.0, 24.48, 20.76, 53.579998, -0.82494193, 0.024806373, -0.01063391, 5.0, null 
2014_11_30 15:10:43.290, walking, 0.05448139, -0.24516626, 10.133538, 0.0974709, -0.24435434, 9.803121, -0.04298951, -8.1191957E-4, 0.33041763, 0.004886922, -0.008246681, -0.0036651916, 100.0, 24.0, 21.06, 53.46, -0.8088546, 0.024919787, -0.009942516, 5.0, null 
2014_11_30 15:10:43.799, walking, 0.06810174, -0.2860273, 10.174399, 0.100129366, -0.23938301, 9.803217, 0.036074117, -0.019403607, 0.35756207, 0.0067195175, -0.0125227375, -0.0012217305, 100.0, 24.42, 20.88, 54.0, -0.8216191, 0.024412699, -0.010213574, 5.0, null 
2014_11_30 15:10:44.346, walking, 0.06810174, -0.20430522, 10.256122, 0.09596524, -0.23533325, 9.803356, -0.027863495, 0.031028032, 0.45276546, 0.010995574, -0.011911872, 0.0012217305, 100.0, 23.939999, 21.539999, 53.76, -0.7980086, 0.023999617, -0.009788706, 5.0, null 
2014_11_30 15:10:44.929, walking, 0.10896278, -0.24516626, 10.2152605, 0.097477034, -0.23851332, 9.803265, -0.0021345988, -0.0066529363, 0.38475513, 0.007941248, -0.0106901415, -0.0027488936, 100.0, 24.18, 21.06, 53.699997, -0.8131945, 0.024323989, -0.009942996, 5.0, null 
2014_11_30 15:10:45.548, walking, 0.095342435, -0.24516626, 10.2152605, 0.093300164, -0.23640248, 9.803356, 0.0020422712, -0.008763775, 0.41190434, 0.007330383, -0.01160644, 3.0543262E-4, 100.0, 24.359999, 20.939999, 54.12, -0.8200955, 0.02410868, -0.009516878, 5.0, null 
2014_11_30 15:10:46.063, walking, 0.12258313, -0.24516626, 10.092678, 0.08757806, -0.2369185, 9.803397, 0.03500507, -0.04910882, 0.34376144, 0.008552114, -0.010079277, 3.0543262E-4, 100.0, 24.359999, 21.0, 53.1, -0.82010114, 0.024161313, -0.008933202, 5.0, null 
2014_11_30 15:10:46.600, walking, 0.095342435, -0.32688835, 10.092678, 0.092581585, -0.24678299, 9.803107, 0.00276085, -0.080105364, 0.2895708, 0.009162978, -0.0106901415, -0.004886922, 100.0, 22.74, 21.3, 54.0, -0.77585274, 0.025167517, -0.009443825, 5.0, null 
2014_11_30 15:10:47.192, walking, 0.095342435, -0.23154591, 10.18802, 0.0985505, -0.24889737, 9.802996, 0.010412283, -0.03712994, 0.41226482, 0.008552114, -0.012217305, -0.002443461, 100.0, 22.619999, 21.66, 53.52, -0.76464087, 0.025383193, -0.010052762, 5.0, null 
2014_11_30 15:10:47.801, walking, 0.095342435, -0.2860273, 10.174399, 0.1000219, -0.24526809, 9.803073, -0.004679464, -0.04075922, 0.37132645, 0.010995574, -0.008246681, -0.004581489, 100.0, 22.92, 21.72, 54.12, -0.7698643, 0.02501299, -0.010202763, 5.0, null 
2014_11_30 15:10:48.322, walking, 0.10896278, -0.24516626, 10.147159, 0.10283199, -0.2479, 9.802977, -0.021109901, -0.010886624, 0.49400616, 0.005497787, -0.004886922, 3.0543262E-4, 100.0, 22.32, 21.359999, 53.399998, 1.4485555, 0.6927778, -1.3617734, 5.0, null 
2014_11_30 15:10:48.856, walking, 0.095342435, -0.25878662, 10.2152605, 0.09639178, -0.24655467, 9.803077, -0.0010493472, -0.012231946, 0.41218376, 0.01160644, -0.012217305, -0.0033597588, 100.0, 22.56, 21.3, 53.52, -0.771708, 0.025144229, -0.009832492, 5.0, null 
2014_11_30 15:10:49.453, walking, 0.12258313, -0.24516626, 10.119919, 0.09417724, -0.2484491, 9.80305, 0.0011651963, 0.003282845, 0.34410858, 0.005192355, -0.008246681, 0.0018325958, 100.0, 22.68, 22.14, 53.52, 1.2871938, 0.9605887, -1.2252407, 5.0, null 
2014_11_30 15:10:50.026, walking, 0.14982383, -0.21792556, 10.3242235, 0.098195836, -0.24328789, 9.80314, 0.051627994, 0.025362328, 0.52108383, 0.0076358155, -0.008246681, 9.162979E-4, 100.0, 22.8, 21.3, 53.16, -0.77756774, 0.024811007, -0.0100164395, 5.0, null 
2014_11_30 15:10:50.579, walking, 0.12258313, -0.2860273, 10.2152605, 0.09433683, -0.24103595, 9.803234, 0.0010056049, -0.004130304, 0.4120264, 0.008246681, -0.0125227375, 0.0018325958, 100.0, 22.98, 21.18, 53.82, 1.2223836, 0.44291103, -1.8925469, 5.0, null 
2014_11_30 15:10:51.104, walking, 0.040861044, -0.29964766, 10.174399, 0.09137823, -0.24522977, 9.803157, -0.050517183, -0.054417893, 0.37124252, 0.0018325958, -0.009162978, 0.004886922, 100.0, 22.56, 21.779999, 54.12, -0.7615644, 0.025009086, -0.009321037, 5.0, null 
2014_11_30 15:10:51.704, walking, 0.095342435, -0.25878662, 10.18802, 0.08990254, -0.25470498, 9.802929, 0.0054398924, -0.0040816367, 0.38509083, 0.0061086523, -0.008857546, -0.0027488936, 100.0, 22.92, 21.0, 53.46, -0.78633446, 0.025975602, -0.009170731, 5.0, null 
2014_11_30 15:10:52.305, walking, 0.095342435, -0.27240697, 10.051817, 0.08561438, -0.2521199, 9.803035, 0.009728052, -0.020287067, 0.24878216, 0.011911872, -0.014966198, 0.0027488936, 100.0, 22.68, 21.42, 54.12, -0.77200735, 0.025711907, -0.008733235, 5.0, null 
2014_11_30 15:10:52.838, walking, 0.13620348, -0.2860273, 10.133538, 0.09296592, -0.2498011, 9.803027, 0.029617205, -0.036226213, 0.41223335, 0.006414085, -0.0070249503, 9.162979E-4, 100.0, 22.56, 21.42, 53.579998, -0.7690645, 0.025475377, -0.0094831055, 5.0, null 
2014_11_30 15:10:53.355, walking, 0.12258313, -0.2860273, 10.18802, 0.0931165, -0.24655841, 9.803108, 0.029466629, -0.0394689, 0.38491154, 0.007330383, -0.008552114, 0.0030543262, 100.0, 22.5, 21.539999, 53.94, -0.7651696, 0.025144609, -0.009498386, 5.0, null 
2014_11_30 15:10:53.956, walking, 0.095342435, -0.24516626, 10.18802, 0.098367006, -0.24544668, 9.803084, -0.0030245706, 2.8042495E-4, 0.38493538, 0.01038471, -0.010079277, -0.0036651916, 100.0, 22.68, 21.18, 53.52, -0.7769641, 0.025031209, -0.010033955, 5.0, null 
2014_11_30 15:10:54.557, walking, 0.08172209, -0.27240697, 10.106298, 0.096221715, -0.24358189, 9.803152, -0.014499627, -0.028825074, 0.30314636, 0.0076358155, -0.007330383, -0.0036651916, 100.0, 23.34, 20.76, 53.16, -0.80182296, 0.024840996, -0.00981507, 5.0, null 
2014_11_30 15:10:55.103, walking, 0.095342435, -0.24516626, 10.365085, 0.09187657, -0.24196073, 9.803235, -0.023774825, 0.02403517, 0.42564583, 0.0061086523, -0.008857546, 9.162979E-4, 100.0, 22.56, 20.82, 53.699997, -0.78340685, 0.02467563, -0.009371792, 5.0, null 
2014_11_30 15:10:55.609, walking, 0.12258313, -0.24516626, 10.133538, 0.1015118, -0.24735713, 9.803004, 0.02107133, 0.002190873, 0.33053398, 0.010995574, -0.009162978, -9.162979E-4, 100.0, 22.8, 21.0, 53.82, -0.7828144, 0.025226083, -0.010354803, 5.0, null 
2014_11_30 15:10:56.209, walking, 0.10896278, -0.23154591, 10.160779, 0.1017798, -0.25101894, 9.802909, 0.007182978, 0.019473031, 0.3578701, 0.009162978, -0.00580322, -0.0033597588, 100.0, 22.68, 21.48, 53.219997, -0.7695006, 0.025599604, -0.01038224, 5.0, null 
2014_11_30 15:10:56.716, walking, 0.095342435, -0.24516626, 10.133538, 0.10596009, -0.24785395, 9.802945, -0.051478703, 0.029928386, 0.42593575, 0.010079277, -0.0033597588, -0.0012217305, 100.0, 22.92, 21.72, 53.52, 1.1753885, 0.5697538, -1.7955076, 5.0, null 
2014_11_30 15:10:57.262, walking, 0.14982383, -0.24516626, 10.160779, 0.1104837, -0.2518345, 9.8027935, 0.03934013, 0.0066682547, 0.3579855, 0.01038471, -0.010079277, -6.1086525E-4, 100.0, 23.16, 21.119999, 53.46, -0.78680855, 0.025682796, -0.011270157, 5.0, null 
2014_11_30 15:10:57.847, walking, 0.12258313, -0.24516626, 10.147159, 0.103431605, -0.24868941, 9.802951, -0.048950214, -0.0373379, 0.46679115, 0.009773844, -0.011301007, 0.0012217305, 100.0, 22.98, 21.359999, 53.579998, -0.7786507, 0.025361981, -0.010550677, 5.0, null 
2014_11_30 15:10:58.426, walking, 0.12258313, -0.25878662, 10.119919, 0.10632629, -0.25155345, 9.802847, 0.016256839, -0.0072331727, 0.3170719, 0.007941248, -0.009468411, 3.0543262E-4, 100.0, 22.74, 21.72, 53.28, -0.76495737, 0.025654126, -0.010846045, 5.0, null 
2014_11_30 15:10:58.978, walking, 0.13620348, -0.24516626, 10.18802, 0.10041513, -0.25209132, 9.802896, -0.07317444, 0.020545408, 0.48046684, 0.008246681, -0.011911872, 0.00580322, 100.0, 22.199999, 21.42, 53.76, -0.75947565, 0.02570899, -0.010243058, 5.0, null 
2014_11_30 15:10:59.521, walking, 0.10896278, -0.25878662, 10.18802, 0.098273, -0.25500974, 9.802841, 0.01068978, -0.0037768781, 0.38517857, 0.005192355, -0.009773844, 6.1086525E-4, 100.0, 23.1, 21.3, 53.82, -0.7823281, 0.026006687, -0.010024616, 5.0, null 
2014_11_30 15:11:00.113, walking, 0.12258313, -0.21792556, 10.256122, 0.10031671, -0.25355822, 9.802859, 0.022266418, 0.008391961, 0.38516045, 0.010079277, -0.009162978, -0.0027488936, 100.0, 23.039999, 21.48, 53.46, -0.77725446, 0.025858622, -0.010233056, 5.0, null 
2014_11_30 15:11:00.627, walking, 0.12258313, -0.27240697, 10.20164, 0.103048615, -0.25036347, 9.802912, 0.019534513, -0.022043496, 0.39872837, 0.008857546, -0.0106901415, 9.162979E-4, 100.0, 23.16, 21.42, 53.52, -0.78122526, 0.025532741, -0.010511654, 5.0, null 
2014_11_30 15:11:01.172, walking, 0.06810174, -0.313268, 10.2152605, 0.105429396, -0.24814945, 9.802943, -0.037327655, -0.06511855, 0.41231728, 0.006414085, -0.008857546, 0.0021380284, 100.0, 22.92, 21.359999, 53.64, -0.77707994, 0.025306903, -0.010754457, 5.0, null 
2014_11_30 15:11:01.728, walking, 0.095342435, -0.24516626, 10.174399, 0.10446984, -0.24751537, 9.80297, -0.009127408, -0.0248916, 0.38504982, 0.008857546, -0.01038471, -0.0027488936, 100.0, 22.8, 21.24, 54.059998, -0.7768963, 0.025242222, -0.010656555, 5.0, null 
2014_11_30 15:11:02.374, walking, 0.095342435, -0.27240697, 10.160779, 0.09705035, -0.24367657, 9.803142, 0.025532782, -0.04235074, 0.38487816, 0.01160644, -0.005192355, -0.0015271631, 100.0, 23.1, 21.3, 53.46, -0.7841199, 0.024850652, -0.0098995995, 5.0, null 
2014_11_30 15:11:02.983, walking, 0.095342435, -0.24516626, 10.133538, 0.09371575, -0.24441636, 9.803156, 0.0016266853, -7.4990094E-4, 0.33038235, 0.003970624, -0.008552114, 0.0030543262, 100.0, 22.859999, 21.18, 53.219997, -0.78194195, 0.024926113, -0.009559462, 5.0, null 
2014_11_30 15:11:03.508, walking, 0.095342435, -0.24516626, 10.147159, 0.09305213, -0.24370766, 9.80318, -0.024950385, -0.0014586002, 0.46656227, 0.0061086523, -0.008857546, 0.0036651916, 100.0, 22.98, 21.18, 53.46, -0.78460175, 0.024853824, -0.00949175, 5.0, null 
2014_11_30 15:11:04.026, walking, 0.095342435, -0.27240697, 10.2152605, 0.095098354, -0.24521735, 9.803122, 2.4408102E-4, -0.027189612, 0.41213894, 0.008857546, -0.013439035, 0.0012217305, 100.0, 23.039999, 21.84, 53.94, -0.77070004, 0.025007818, -0.00970052, 5.0, null 
2014_11_30 15:11:04.635, walking, 0.12258313, -0.2860273, 10.160779, 0.09287682, -0.233055, 9.80344, 0.029706307, -0.052972317, 0.3573389, 0.006414085, -0.0061086523, -6.1086525E-4, 100.0, 22.14, 21.66, 53.039997, -0.7566159, 0.023767233, -0.009473618, 5.0, null 
2014_11_30 15:11:05.235, walking, 0.08172209, -0.25878662, 10.160779, 0.0924063, -0.23062304, 9.803502, -0.0106842145, -0.028163582, 0.35727692, 0.0070249503, -0.010995574, -0.002443461, 100.0, 22.38, 21.48, 52.98, -0.7664506, 0.023519173, -0.0094255665, 5.0, null 
2014_11_30 15:11:05.773, walking, 0.12258313, -0.2860273, 10.18802, 0.09563772, -0.23578268, 9.803349, 0.054186113, -0.009383574, 0.35743046, 0.010079277, -0.01160644, 3.0543262E-4, 100.0, 22.56, 21.3, 53.16, -0.7733662, 0.02404546, -0.009755309, 5.0, null 
2014_11_30 15:11:06.285, walking, 0.08172209, -0.27240697, 10.2152605, 0.10231048, -0.25041446, 9.802918, -0.02058839, -0.021992505, 0.41234207, 0.013439035, -0.008857546, -3.0543262E-4, 100.0, 22.5, 22.02, 53.94, -0.7531967, 0.025537943, -0.010436357, 5.0, null 
2014_11_30 15:11:06.887, walking, 0.08172209, -0.29964766, 10.160779, 0.0993362, -0.25122166, 9.802929, -0.017614111, -0.048426002, 0.35785007, 0.006414085, -0.009162978, 0.0033597588, 100.0, 24.539999, 21.24, 53.699997, -0.81498903, 0.025620282, -0.010132971, 5.0, null 
2014_11_30 15:11:07.388, walking, 0.10896278, -0.24516626, 10.2152605, 0.10768988, -0.24870215, 9.802904, 0.0012729019, 0.0035358965, 0.41235638, 0.0061086523, -0.007330383, 0.005497787, 100.0, 24.6, 21.359999, 54.239998, -0.81250525, 0.025363281, -0.010985066, 5.0, null 
2014_11_30 15:11:07.937, walking, 0.12258313, -0.21792556, 10.2152605, 0.11004814, -0.242075, 9.803044, 0.012534991, 0.024149433, 0.4122162, 0.007330383, -0.009773844, 0.0012217305, 100.0, 24.779999, 20.76, 54.059998, -0.83025336, 0.024687286, -0.011225443, 5.0, null 
2014_11_30 15:11:08.509, walking, 0.095342435, -0.24516626, 10.20164, 0.10257541, -0.24809867, 9.802975, 0.020007722, 0.016552761, 0.42590618, 0.009468411, -0.009468411, -0.0012217305, 100.0, 23.699999, 20.4, 53.879997, 1.4548464, 0.9390344, -2.095592, 5.0, null 
2014_11_30 15:11:09.026, walking, 0.06810174, -0.24516626, 10.2152605, 0.105638266, -0.24396123, 9.803045, -0.037536524, -0.0012050271, 0.41221523, 0.010079277, -0.0067195175, 0.0030543262, 100.0, 24.18, 21.72, 53.94, -0.7968813, 0.02487969, -0.010775649, 5.0, null 
2014_11_30 15:11:09.589, walking, 0.12258313, -0.24516626, 10.18802, 0.10295486, -0.24069431, 9.803155, 0.019628271, -0.004471943, 0.3848648, 0.009468411, -0.0076358155, 9.162979E-4, 100.0, 24.18, 21.24, 53.879997, -0.80814785, 0.024546454, -0.010501831, 5.0, null 
2014_11_30 15:11:10.137, walking, 0.095342435, -0.27240697, 10.147159, 0.099267244, -0.24708651, 9.803035, 0.023315884, 0.0155406, 0.38498497, 0.006414085, -0.010995574, -0.002443461, 100.0, 26.16, 21.119999, 54.059998, -0.8503735, 0.025198478, -0.010125829, 5.0, null 
2014_11_30 15:11:10.681, walking, 0.095342435, -0.25878662, 10.256122, 0.10134614, -0.25479552, 9.802815, -0.0060037076, -0.003991097, 0.4533062, 0.011911872, -0.009162978, -0.0030543262, 100.0, 26.099998, 20.699999, 54.239998, -0.85723406, 0.025984837, -0.010338105, 5.0, null 
2014_11_30 15:11:11.269, walking, 0.13620348, -0.25878662, 10.20164, 0.09763001, -0.24750657, 9.8030405, 0.038573474, -0.011280045, 0.39859962, 0.0033597588, -0.009162978, -6.1086525E-4, 100.0, 24.119999, 21.119999, 54.0, 2.269273, -0.34397388, -0.418121, 5.0, null 
2014_11_30 15:11:11.879, walking, 0.12258313, -0.24516626, 10.20164, 0.09410291, -0.24817728, 9.803058, 0.028480217, 0.003011018, 0.39858246, 0.010079277, -0.0067195175, 9.162979E-4, 100.0, 23.58, 21.3, 54.0, -0.79403967, 0.025309741, -0.009599048, 5.0, null 
2014_11_30 15:11:12.405, walking, 0.08172209, -0.313268, 10.051817, 0.096489444, -0.24565496, 9.803098, -0.028387703, 4.886985E-4, 0.37130165, 0.010995574, -0.008857546, 6.1086525E-4, 100.0, 23.76, 21.119999, 53.34, -0.8024365, 0.025052454, -0.009842432, 5.0, null 
2014_11_30 15:11:12.935, walking, 0.095342435, -0.24516626, 10.174399, 0.09162059, -0.24502242, 9.803161, 0.0037218481, -1.4384091E-4, 0.3712387, 0.011911872, -0.005497787, 0.0012217305, 100.0, 23.82, 21.359999, 53.82, -0.7987055, 0.024987932, -0.009345753, 5.0, null 
2014_11_30 15:11:13.530, walking, 0.08172209, -0.24516626, 10.092678, 0.08992197, -0.24801876, 9.803101, -0.0081998855, 0.0028524995, 0.28957748, 0.010079277, -0.00580322, -0.0027488936, 100.0, 22.98, 21.42, 53.82, -0.77889866, 0.025293572, -0.009172552, 5.0, null 
2014_11_30 15:11:14.039, walking, 0.10896278, -0.24516626, 10.18802, 0.10278182, -0.25049603, 9.802912, 0.033421665, -0.035531282, 0.385108, 0.010079277, -0.01282817, 0.0018325958, 100.0, 23.88, 21.539999, 54.0, -0.7939182, 0.025546264, -0.010484441, 5.0, null 
2014_11_30 15:11:14.580, walking, 0.10896278, -0.24516626, 10.18802, 0.109029196, -0.24526091, 9.802977, -6.6414475E-5, 9.4652176E-5, 0.38504314, 0.003970624, -0.012217305, -0.0027488936, 100.0, 23.46, 21.06, 53.579998, -0.79562247, 0.02501226, -0.011121592, 5.0, null 
2014_11_30 15:11:15.174, walking, 0.06810174, -0.24516626, 10.160779, 0.10887469, -0.2502092, 9.802854, 8.8088214E-5, 0.03228365, 0.33068466, 0.009773844, -0.011301007, -0.0015271631, 100.0, 23.46, 20.939999, 53.579998, -0.79772216, 0.025517007, -0.011105971, 5.0, null 
2014_11_30 15:11:15.851, walking, 0.095342435, -0.23154591, 10.160779, 0.10574386, -0.24112745, 9.803114, -0.010401428, 0.009581536, 0.35766506, 0.0067195175, -0.011911872, -3.0543262E-4, 100.0, 24.0, 21.359999, 54.18, -0.8010606, 0.024590636, -0.010786344, 5.0, null 
2014_11_30 15:11:16.383, walking, 0.10896278, -0.27240697, 10.160779, 0.10404388, -0.23835777, 9.803201, 0.004918903, -0.034049198, 0.35757828, 0.0125227375, -0.0061086523, 0.0021380284, 100.0, 23.88, 20.699999, 54.0, -0.81392413, 0.02430812, -0.010612857, 5.0, null 
2014_11_30 15:11:16.963, walking, 0.095342435, -0.313268, 10.18802, 0.106736235, -0.23329106, 9.803294, -0.0113938, -0.011875197, 0.38472557, 0.007941248, -0.0070249503, -0.0018325958, 100.0, 23.64, 21.539999, 53.399998, -0.7907818, 0.023791311, -0.010887363, 5.0, null 
2014_11_30 15:11:17.600, walking, 0.095342435, -0.2860273, 10.20164, 0.10564849, -0.24694498, 9.802971, -0.010306053, -0.039082333, 0.39866924, 0.0070249503, -0.009773844, -0.004276057, 100.0, 23.64, 21.18, 53.46, -0.7971703, 0.02518404, -0.010776774, 5.0, null 
2014_11_30 15:11:18.101, walking, 0.095342435, -0.24516626, 10.256122, 0.10922869, -0.2503526, 9.802846, -2.6591122E-4, 0.0051863343, 0.42603493, 0.007330383, -0.007941248, 0.0018325958, 100.0, 23.039999, 21.18, 53.82, -0.7828507, 0.025531633, -0.011142088, 5.0, null 
2014_11_30 15:11:18.627, walking, 0.13620348, -0.24516626, 10.174399, 0.11338797, -0.2415984, 9.803018, 0.02281551, -0.0035678595, 0.37138176, 0.004581489, -0.0125227375, -3.0543262E-4, 100.0, 23.64, 20.64, 53.879997, 1.294184, 0.92401254, -1.2220253, 5.0, null 
2014_11_30 15:11:19.245, walking, 0.12258313, -0.2860273, 10.133538, 0.10824607, -0.24788335, 9.802918, 0.014337055, -0.038143963, 0.3306198, 0.0076358155, -0.008857546, -0.0030543262, 100.0, 23.88, 21.66, 53.579998, -0.7912928, 0.025279762, -0.01104178, 5.0, null 
2014_11_30 15:11:19.837, walking, 0.08172209, -0.27240697, 10.2152605, 0.096845195, -0.24342886, 9.80315, -0.015123107, -0.02897811, 0.41211033, 0.004581489, -0.010995574, -3.0543262E-4, 100.0, 23.4, 21.18, 53.76, -0.7932022, 0.024825385, -0.009878666, 5.0, null 
2014_11_30 15:11:20.387, walking, 0.10896278, -0.23154591, 10.2152605, 0.102135375, -0.24770251, 9.802989, 0.034068108, 0.016156599, 0.45313263, 0.007330383, -0.010079277, -0.005192355, 100.0, 22.56, 21.48, 53.219997, -2.0330563, 0.02526131, -0.0104184225, 5.0, null 
2014_11_30 15:11:20.896, walking, 0.13620348, -0.2860273, 10.174399, 0.102408364, -0.24961804, 9.8029375, 0.03379512, -0.036409274, 0.37146187, 0.0061086523, -0.009162978, 0.0030543262, 100.0, 23.939999, 21.66, 53.76, -0.79292816, 0.025456704, -0.010446322, 5.0, null 
2014_11_30 15:11:21.496, walking, 0.12258313, -0.24516626, 10.119919, 0.09935621, -0.25062, 9.802944, 0.023226917, 0.0054537505, 0.31697464, 0.0067195175, -0.013744468, -0.005192355, 100.0, 23.82, 21.119999, 54.239998, -0.80208063, 0.02555891, -0.010134997, 5.0, null 
2014_11_30 15:11:22.016, walking, 0.10896278, -0.24516626, 10.092678, 0.102009505, -0.24652551, 9.8030205, 0.0073414743, 0.032243088, 0.28974628, 0.008857546, -0.009468411, -3.0543262E-4, 100.0, 20.52, 21.48, 53.76, -0.7184152, 0.025141254, -0.01040555, 5.0, null 
2014_11_30 15:11:22.569, walking, 0.12258313, -0.24516626, 10.256122, 0.09762016, -0.24974601, 9.802983, 0.02496297, 0.0045797527, 0.45313835, 0.0076358155, -0.01160644, -3.0543262E-4, 100.0, 20.46, 21.779999, 53.28, -0.7110753, 0.025469758, -0.009957881, 5.0, null 
2014_11_30 15:11:23.133, walking, 0.095342435, -0.24516626, 10.2152605, 0.09899337, -0.2530156, 9.802886, 0.02358976, -0.033011705, 0.357893, 0.008552114, -0.008246681, 0.002443461, 100.0, 20.699999, 21.6, 53.34, 1.0350633, 0.6241229, -1.5243182, 5.0, null 
2014_11_30 15:11:23.785, walking, 0.10896278, -0.2860273, 10.106298, 0.09642635, -0.25189832, 9.80294, 0.012536429, -0.034128994, 0.30335808, 0.007941248, -0.014049901, -0.0030543262, 100.0, 20.76, 21.96, 53.64, 0.5688863, 1.1991229, -0.9827937, 5.0, null 
2014_11_30 15:11:24.390, walking, 0.12258313, -0.24516626, 10.2152605, 0.099921405, -0.25463852, 9.8028345, 0.022661723, 0.009472266, 0.412426, 0.009773844, -0.006414085, -3.0543262E-4, 100.0, 21.72, 21.539999, 53.82, -0.74538904, 0.025968822, -0.010192761, 5.0, null 
2014_11_30 15:11:24.923, walking, 0.12258313, -0.24516626, 10.228881, 0.09795838, -0.2576339, 9.802775, 0.0654858, 0.066949025, 0.49420738, 0.005192355, -0.008246681, -6.1086525E-4, 100.0, 21.359999, 21.72, 53.399998, -0.73320925, 0.026274368, -0.00999259, 5.0, null 
2014_11_30 15:11:25.449, walking, 0.095342435, -0.27240697, 10.18802, 0.09900724, -0.2527156, 9.802894, -0.0036648065, -0.019691378, 0.3851261, 0.006414085, -0.010079277, -0.0027488936, 100.0, 20.699999, 21.96, 53.28, -0.71263546, 0.02577267, -0.010099455, 5.0, null 
2014_11_30 15:11:26.028, walking, 0.08172209, -0.25878662, 10.18802, 0.0928057, -0.24930966, 9.803041, -0.01108361, -0.00947696, 0.3849783, 0.0076358155, -0.008246681, 0.0027488936, 100.0, 20.34, 21.84, 53.219997, -0.7075683, 0.02542525, -0.009466749, 5.0, null 
2014_11_30 15:11:26.531, walking, 0.05448139, -0.27240697, 10.18802, 0.09281155, -0.2516637, 9.802981, -0.011089459, -0.034363598, 0.38503838, 0.008246681, -0.0076358155, 0.0012217305, 100.0, 21.6, 21.539999, 52.92, -0.7445489, 0.025665374, -0.009467403, 5.0, null 
2014_11_30 15:11:27.115, walking, 0.08172209, -0.21792556, 10.119919, 0.098258846, -0.24674724, 9.803053, -0.016536757, 0.028821677, 0.31686592, 0.0125227375, -0.0067195175, -0.0027488936, 100.0, 19.859999, 22.02, 53.039997, 1.6174415, 0.45384493, -1.6373645, 5.0, null 
2014_11_30 15:11:27.669, walking, 0.13620348, -0.24516626, 10.242501, 0.09850944, -0.24562298, 9.803079, 0.010453343, -0.05402468, 0.37132072, 0.009162978, -0.010995574, -0.0021380284, 100.0, 21.42, 22.08, 53.46, -0.7282213, 0.025049191, -0.010048488, 5.0, null 
2014_11_30 15:11:28.182, walking, 0.12258313, -0.2860273, 10.160779, 0.10374356, -0.24197112, 9.803116, 0.018839568, -0.044056192, 0.35766315, 0.01038471, -0.008552114, 0.0018325958, 100.0, 20.88, 21.72, 52.86, -0.7231017, 0.024676692, -0.010582318, 5.0, null 
2014_11_30 15:11:28.798, walking, 0.10896278, -0.21792556, 10.256122, 0.11152055, -0.23899077, 9.803103, -0.0025577694, 0.021065205, 0.4530182, 0.010995574, -0.006414085, 0.0027488936, 100.0, 20.1, 22.199999, 53.399998, 0.86292547, 0.6212911, -1.2679114, 5.0, null 
2014_11_30 15:11:29.388, walking, 0.10896278, -0.21792556, 10.2152605, 0.112249136, -0.23836112, 9.803111, -0.0032863542, 0.020435557, 0.41214943, 0.0061086523, -0.01160644, -0.0018325958, 100.0, 21.9, 21.66, 53.46, -0.7476147, 0.024308462, -0.011449859, 5.0, null 
2014_11_30 15:11:29.932, walking, 0.06810174, -0.21792556, 10.2152605, 0.105315395, -0.2435838, 9.803059, -0.037213653, -0.0015824586, 0.41220188, 0.008246681, -0.014966198, -0.0012217305, 100.0, 20.34, 21.779999, 53.52, -0.7075535, 0.02484119, -0.0107427025, 5.0, null 
2014_11_30 15:11:30.450, walking, 0.095342435, -0.24516626, 10.283362, 0.10477953, -0.2405258, 9.80314, -0.009437092, -0.00464046, 0.4802227, 0.010995574, -0.007941248, 0.0015271631, 100.0, 20.46, 21.96, 52.8, -0.70770276, 0.024529265, -0.010687957, 5.0, null 
2014_11_30 15:11:31.050, walking, 0.095342435, -0.25878662, 10.256122, 0.101835616, -0.23498437, 9.803306, -0.006493181, -0.02380225, 0.452816, 0.003970624, -0.007941248, -0.0027488936, 100.0, 19.619999, 22.14, 53.34, 1.4800588, 0.86708146, -1.4464413, 5.0, null 
2014_11_30 15:11:31.570, walking, 0.12258313, -0.21792556, 10.20164, 0.10360709, -0.24630082, 9.803009, 0.01897604, -0.012485802, 0.43949223, 0.0067195175, -0.009162978, 0.002443461, 100.0, 19.74, 22.02, 53.039997, -0.68761253, 0.025118334, -0.010568514, 5.0, null 
2014_11_30 15:11:32.138, walking, 0.12258313, -0.2860273, 10.228881, 0.10198369, -0.24506755, 9.803057, 0.02059944, -0.04095976, 0.42582417, 0.007330383, -0.004276057, 9.162979E-4, 100.0, 20.76, 22.14, 53.1, -0.71091425, 0.024992537, -0.010402879, 5.0, null 
